,pid,Gesamtbetrag,Direktzahlungen,Umverteilungsprämie,Erstattung nicht genutzter Mittel der Krisenreserve,Agrarumweltmaßnahmen,Agrarumwelt- und Klimaschutzmaßnahmen
0,004ca8d6-98e7-469b-b7f8-1b6c2f0e9daf,391655,330107,56276,5272.0,,
1,060090ee-acc3-40ea-b066-587f2effb0f6,1250766,1015558,165379,27749.0,,42080.0
2,07b77876-0565-41d8-bce4-b5765fc8961f,2820758,2423997,201119,68602.0,,127040.0
3,08c938d3-3ca9-4bd6-8e1f-118d65e89092,3634111,3318126,201119,93896.0,,20970.0
4,0e47ad0d-a8f3-410c-8785-d9019e6c9a2d,117565,100326,17239,,,
5,0fff778a-547a-4cd6-a412-b2e8325ffe72,3010968,2407149,201119,68125.0,,334575.0
6,201ab99d-8c03-4a53-b9ce-4ecf994b7536,750922,628210,107502,15210.0,,
7,2815bcf7-c31f-4c83-ab61-2f02661e8d6b,360669,304392,51857,4420.0,,
8,286bf993-f685-4161-baad-a8a6eca4c7b1,469298,394543,67347,7408.0,,
9,2bb7f406-b9d3-45eb-b863-0ed9934f13d9,1480926,1255568,190120,35238.0,,
10,2cfc533e-60c5-4076-bc98-92a8c59be5c8,432602,363508,62015,6379.0,700.0,
11,2fa05e4d-f020-47c6-b9ad-e6117089ab36,626013,524599,89695,11719.0,,
12,362daea8-97b5-4ef4-bd55-ce57ab599203,779522,651994,111586,15942.0,,
13,40e25e3f-98f1-432a-a5ba-9fb890c39150,1512675,1221281,186586,34168.0,,70640.0
14,41c9744a-29f3-4d30-8d9f-b5238a25ef39,1659865,1358135,200692,38438.0,62600.0,
15,45fc2e6a-2c8c-4aed-b857-3acfdf91e628,3194970,2808842,201119,79489.0,,105520.0
16,4eb312e7-3dd6-43c6-9db2-6ea4ac2c43b9,627794,526077,89949,11768.0,,
17,4ff3c167-2aa0-4cde-b29c-e6df52215d5d,998132,796237,136371,20724.0,,44800.0
18,58131857-0538-4108-b9a8-c335f0ca3f0c,978500,736234,126061,18735.0,,97470.0
19,592fd6e5-cd46-4349-92e3-c7e0217e1b6e,673921,543221,92894,12336.0,,25470.0
20,5f13dc95-5abe-4b8c-a5fb-3191b5e4209c,233516,198855,33739,922.0,,
21,66873a8f-9735-47aa-acdd-6352040f209f,1811429,1536961,201119,43509.0,,29840.0
22,68305ea2-a612-4d19-9275-207f8e746775,721665,536422,91727,12111.0,,81405.0
23,6f080a17-60df-4d19-a335-a549eca61da9,276968,234930,39921,2117.0,,
24,7276d877-5da6-4893-9f5d-2394a03c34c3,3254649,2590999,201119,73326.0,,389205.0
25,8540b698-40e7-48c2-ab07-e35692c2ea14,137218,117097,20121,,,
26,95bf1c09-f58d-47a1-9b59-fb8817346ae7,1917147,1668790,201119,47238.0,,
27,9d47bee9-ee22-4776-94bc-6eb72d520b2b,157221,134167,23054,,,
28,a2b1a8f9-e207-4054-a132-6442fc19c7f3,104230,88946,15284,,,
29,a3c3a104-5a88-4762-9594-9152d3de1f0d,2727106,2159453,201119,61119.0,,305415.0
30,b5f4cac1-31bc-4460-9845-cc326d750f6f,2469105,2205563,201119,62423.0,,
31,b975629f-f81d-4a6a-acef-1ce4963c4e77,1067537,891118,152553,23866.0,,
32,c60fb4db-5361-4e17-b8fe-cf6ba68bb797,116161,99128,17033,,,
33,ca0ce6c6-7df7-41cf-9aa7-ee543dfe628d,487107,409322,69887,7898.0,,
34,d6791250-1b7b-406f-9f90-ba66d1937d65,546231,458389,78318,9524.0,,
35,d739db59-e4db-4ef9-b574-32eef78d50a0,1157390,916538,155173,24659.0,,61020.0
36,e3ec9567-ace6-476e-a53d-b67fb9d14087,418367,352276,60084,6007.0,,
37,ea57b31f-188f-47c0-b721-98c81c7719fe,442230,372080,63487,6663.0,,
38,ef5c5ae9-f803-4805-9119-75ee1abd8216,763849,638988,109350,15511.0,,
39,f690f74b-6778-4bab-adb1-bfc4bdb91ec4,1040593,868654,148815,23124.0,,
40,f9385bbd-5ed6-4a66-9d95-2e7e7666c52a,579355,485878,83041,10436.0,,
41,fa4f7b47-422a-4be1-9bb6-7ebfe53d2476,899550,751604,128702,19244.0,,
